Datum;Uhrzeit;Deutschland/Luxemburg[€/MWh];Dänemark 1[€/MWh];Dänemark 2[€/MWh];Frankreich[€/MWh];Italien (Nord)[€/MWh];Niederlande[€/MWh];Polen[€/MWh];Schweden 4[€/MWh];Schweiz[€/MWh];Slowenien[€/MWh];Tschechien[€/MWh];Ungarn[€/MWh];Österreich[€/MWh];Deutschland/Österreich/Luxemburg[€/MWh];Belgien[€/MWh];Norwegen 2[€/MWh]
01.10.2018;00:00;59,53;50,32;50,32;59,53;63,11;59,53;-;42,32;63,06;59,53;43,92;43,92;59,53;-;59,53;42,32
01.10.2018;01:00;56,1;50,43;50,43;56,1;59,75;56,1;-;42,35;58,68;56,1;41,52;41,52;56,1;-;56,1;42,35
01.10.2018;02:00;51,41;42,4;42,4;51,41;59,35;51,41;-;42,4;58,63;51,41;37,5;37,5;51,41;-;51,41;42,4
01.10.2018;03:00;47,38;45,86;45,86;47,38;59,34;47,38;-;42,61;57,83;47,38;35,14;35,14;47,38;-;47,38;42,61
01.10.2018;04:00;47,59;46,34;46,34;47,59;59,38;47,59;-;42,98;58,24;47,59;39,81;39,81;47,59;-;47,59;42,98
01.10.2018;05:00;51,61;51,61;51,61;51,61;61,22;51,61;-;45,95;63,35;51,61;47,41;51,95;51,61;-;51,61;44,29
01.10.2018;06:00;69,13;69,13;69,13;69,13;75;69,13;-;67,47;70,55;75;63;73,94;69,13;-;69,13;45,96
01.10.2018;07:00;77,32;77,32;77,32;77,32;81,5;77,32;-;75,47;76,1;81,5;75,91;83,94;77,32;-;77,32;47,1
01.10.2018;08:00;84,97;84,97;84,97;84,97;87,5;84,97;-;82,93;80,9;87,5;78;89,93;84,97;-;84,97;48,32
01.10.2018;09:00;79,56;79,56;79,56;79,56;79,56;79,56;-;79,56;78,46;79,56;73,67;87,7;79,56;-;79,56;48,32
01.10.2018;10:00;73,7;73,7;73,7;73,7;74,62;73,7;-;73,7;76,24;74,62;66,3;80,61;73,7;-;73,7;48,1
01.10.2018;11:00;71,63;71,63;71,63;72,45;75,47;63;-;71,63;76,09;75,47;65,54;81,99;72;-;73,17;47,04
01.10.2018;12:00;63,15;63,15;63,15;69,95;69,95;56,19;-;63,15;74,97;69,95;60,09;76,08;65,2;-;69,95;47,01
01.10.2018;13:00;60,24;60,24;60,24;66,23;69,86;53,6;-;60,24;75,55;69,86;56,06;74,69;62,05;-;66,23;47,72
01.10.2018;14:00;56,18;56,18;56,18;61,17;75,47;52,3;-;56,18;78,82;75,47;56;78,22;61,96;-;57,4;47,05
01.10.2018;15:00;53;53;53;59,45;79,5;53;-;53;79,9;79,5;62,33;83,08;62,41;-;55,32;45,19
01.10.2018;16:00;53,37;53,37;53,37;58,18;80,9;53,37;-;53,37;80,77;80,9;64,12;86,33;61,98;-;55,3;45,21
01.10.2018;17:00;60,42;60,42;60,42;60,42;81,5;60,42;-;60,42;79,95;81,5;66;86,82;60,42;-;60,42;45,18
